docname,pre,keyword,post
UCwNQLM8fbPpcsD-oiIPY9Hg.1,"subit de pressions politiques , sociales ou autres pour se faire vacciner , s '",il ou elle,ne souhaite pas le faire personnellement » Article 732 : « de veiller à ce
UCsj7B3A7ZGQ_b1j_ZuA86Sg.2,ses scientifiques ! ! Un petit sac de Dollard a gauche et a droite et,il ou elle,te vend sa mère si tu veux ! Ca me rappel l ' arnaque du
UC9aWk17ESh1tS7k3W1KMRDw.1,un peuple suite à la perte d ' un monarque ( ou dictateur ) quand,il ou elle,a toujours fait partie de notre présent . Je ne sais pas si je me
UCoScSH0GF6BinCCBpejG0Gw.1,"déjà été recruteur , je ne vais pas choisir quelqu ' un parce qu '",il ou elle,"me ressemble . Je vais regarder son parcours pro , ses compétences , ses softs"
UC-bGwXts18eQFa5KS_1dNNA.2,Jpp a chaque fois qu ' un youtubeur va au Canada,il ou elle,va dans le truc de hache 😂 😂 😂
UC05PShAMvsu_3xa47-Ll7Mg.2,mais wsh calme toi ! ! Tu sais,il ou elle,a juste fait une remarque sur le décor pourquoi tu déverse ta colère sur lui
UC0vF6gKEmM7YQA-ZbhN75dw.4,"ans : vous n ' avez littéralement jamais vécu sans lui , sans elle ,",il ou elle,a toujours fait partie de votre environnement . Tout change à ce moment-là . .
UCCC-UUQLD_FO0-6DWBfGfow.6,"tout au long de mon commentaire : "" le genre de "" . Qu '",il ou elle,"n ' a donc ici aucune importance , pas plus que le singulier ou le"
UCDh8iKo59q0E5Z2rWZoIy9g.2,but c ' est d ' aider les animaux mais même en la voyant mal,il ou elle,ne voulait pas t ' aider et à préféré te l ' envoyer ailleurs .
UCDiyXztCY4-ilEqYF3-urWA.1,maintenant facile de savoir où se trouve votre mari ou votre femme et à qui,il ou elle,"parle sur WhatsApp , merci à Robert de m ' avoir aidé à pirater mon"
UCkywroYopID5IOz3QsbxxnA.4,Coralie DEIBER,il ou elle,dit ce qu ' elle veut et s ' était méchant
UCsTuzbfwY9ReaCX3HcPgTIw.3,par contre j ' ai une question kitter c une femelle ou un mal car,il ou elle,a un nom de filles mais il bz comme un mal ducout je comprend trop
UC9nVaBU3f4QGbzGy9Z0Mk0g.1,' est pas à moi de devoir enseigner à des coiffeur / euses ce qu ',ils ( elles ),doivent faire quand même alors que j ' ai jamais rien fait en coiffure de ma
UC8LmaRiKTFqFAhnhFQVdJnw.2,"Les mecs / nanas , tu leur files Internet ,",ils / elles,l ' auront lu entièrement en une matinée !
UCt2xL86wF2FXF1nZycmj5Wg.14,"je pense que de pouvoir donner la possibilité "" à ceux qui savent très bien qui",ils / elles,"sont "" ( une des femme transgenre de la vidéo ) , en tout cas ,"
UCK6DIGMXaPeGlKMuqWn-0bw.1,"? C ' est honteux car les personnes travaillant comme "" Eva "" . . .",ils / elles,ont beaucoup de privilègent . Un salaire hors normes . Il n ' y a pas
UCe9CchVE6uoXk3suoGyCkvQ.1,"tu cautionne ça ! ' ' euh , non . . adressez vous aux féministes .",Ils / elles,trouveront peut-être une solution pour vous . C ' est bien de donner de la liberté
UC9ZpIYJOgSWVsKnHQa7gTew.139,"Russes , c ' est pas les capacités des diplômés , pas les connaissances qu '",ils / elles,ont appris durant leur formation ( ça c ' est limite du domaine public ) Ce
UCtIFocR2a2VL8UcJt4M62Gw.2,les TRES BONS acteurs font déjà autre chose que du porno . . . Ou alors,ils / elles,"sont très cons / connes et méritent réellement qu ' on y croit , point barre"
UCR4mozoLHCxds_NgVU9zHqA.7,"une fois , + 1 pour la France concernant les femmes / enfants de terroristes .",Ils / Elles,"ont fait un choix , et malheureusement les victimes ce sont leurs enfants . Comme expliqué"
UCNcgkNm6pj68OGydbfMhhIQ.22,"' école ou sur réseaux , après s ' être fait enregistré dans une vidéo où",ils / elles,"se sont cru en confiance , alors que c ' est justement une des techniques de"
UCsH6YhEMWtitk6ANiotb0xw.27,"Si les élus de tout bord avaient vraiment comme priorité les Français ,",ils / elles,laisseraient de côté leur ego et se mettraient à bosser ensemble . Sur tous les plateaux
UCsH6YhEMWtitk6ANiotb0xw.27,ait pas demandé le vote de confiance » alors que si elle l ' avait demandé,ils / elles,auraient voté contre . Ces gens sont total hors-sol 🤦🏻‍♂ 🤷🏻‍♂
UCzZqPZoRzm_gM3xEiaBFVVw.6,"victimes de votre entourage , et eux / elles sauront qu ' à l ' avenir",ils / elles,ne pourront jamais se confier à vous . Penser à ça avant de poster vos messages
UC0VYINuFXsKP2K8294C9QvA.79,"il faut pas oublier que les traducteurs sont nombreux dans tout les pays du monde ,",ils / elles,"sont payés pour traduire des livres , des films et des conversations lors de meeting avec"
UCsH6YhEMWtitk6ANiotb0xw.46,puisque sorti sous F Mitterrand ) les bénéficiaires signent un contrat d ' insertion dans lequel,ils / elles,s ' engagent à tout mettre en oeuvre pour retrouver le marché du travail . Quant
UCVox06ldbNfgVBxQu4b0h3g.4,Le télétravail c ' est bon pour les glandouilleurs ! et,ils / elles,le savent très bien . . . 35 % de salaire en moins pour ces feignasses
UC5kdVJMZaeB4TEsIDLAmnqA.1,,Ils / elles,sont plus courageux / se que certains français qui s ' amusent à renier leur patrie
UCVULMtTaLKCMv8OGjmv-Hlg.3,on s ' en fou du charisme / on veut qu ',ils / elles,bossent . . . . et fassent leurs taff sans faire de merdes .
UCB7p8CG7N1b8Gi13XxJvc3A.11,la même question que vous me posez est posée aux gens de la gauche française :,ils / elles,répondent : En France les femmes qui portent le voile le font par . . .
UCTHFVhqxCqgg3Yh7dIXJ3yQ.1,. Des personnes qui maîtrisent le sujet de l ' intoxication beaucoup mieux que vous .,Ils / elles,seraient assez stipes pour s ' intoxiquer en toute connaissance de cause ? D ' autre
UC7VRpJf0pQnUR8VnkqdB6ow.2,Parce que certaines personnes souffrent tellement qu ',ils / elles,ne peuvent pas se réjouir ou s ' émouvoir pour le bonheur des autres .
UCY09Xo9n-9byTVzaxYuXntA.1,,Ils / elles,sont tellement talentueux j ' adore ❤
UClf_-lcwyrjMd2ticfXsYBg.1,"tel tri sélectif , pourquoi un tel secret , pourquoi une telle discrétion puisqu '",ils et elles,ne se disent pas secrets ( l ' histoire a fait qu ' ils ont
UC8ncEPdiSU4ecAgFbYHZjgA.143,la police qui fait pas dans la dentelle . D ' autres parce qu ',ils et elles,"sont déjà au ras des pâquerettes question finance , d ' autres comme les infirmières"
UCsosIcjfzqQVxLZJtKhvChQ.12,Mariani exactement je soutiens les manifestants et j ' espère qu ',ils et elles,vont retourner le pouvoir là bas Moi perso si je pouvais je m ' aurais
UC5O7x_6bfTfyshsvb-I9joA.3,maintenant nous sommes dans un pays de clowns qui ne font même pas rirent car,ils et elles,. . sont incultes . ignorants . et surtout dangeureux . . . merci
UCJWSgSOFEIxja1TKtogZE5Q.1,leur force et de leur actualité . J ' ai l ' impression qu ',ils et elles,sont de notre génération tellement ce qui est dit reste tristement au goût du jour
UCjCrJX3viXCWsNZvUiLaDDQ.1,Hou là,ils et elles,"ont tous craqué les soi-disant scientifiques en carton mâché , ya juste à regarder leurs"
UC6MVU5F3zPyKNIUIyc31h0Q.22,Le pire c qu ' ils bouffent a la place de ceux qu ',ils et elles,ont condamnés avant eux à crever mais rassurez vous ils et elles aiment les bêtes
UC6MVU5F3zPyKNIUIyc31h0Q.22,ceux qu ' ils et elles ont condamnés avant eux à crever mais rassurez vous,ils et elles,aiment les bêtes les animaux et la nature surtout dans leur assiette ça peut pas
UCkHdVWlt784PKepUBTs75Qg.2,"Baccouche Pourtant la promotion de corps obèse , qu ' on se le dise",ils et elles,"sont obèse on ne parle plus de quelque kilos en trop pour la plupart ,"
UCUK33RZ2KN8d76cmbhkGXzw.1,bottes . . . Tous et toutes ont critiqué Macron et sa politique et maintenant,ils et elles,demandent en cœur a ce que l ' on vote pour lui . . .
UCm3pqGLw6i4AqEBULrA6nTA.1,ET HISTORIQUES . P.S : MAIS MOI JE N ' AIME PLUS LA FRANCE CAR,ILS ET ELLES,M ' ONT MANIPULÈ A OUTRANCE .
UCzNGI8E-ADXIvHA0ycbBXMw.20,"Et c ' est les mêmes , c ' est juste qu '",ils et elles,ont appris à fermer leurs gueules devant les caméras .
UCaOsNhBZmhShdhcxlKmMRVw.1,"de faire la même chose avec mes proches , mes grands-parents , tant qu '",ils et elles,peuvent encore me raconter leur vie .
UC7_waFIMoYjVva0X9bSzlMQ.2,De quel degré étaient,ils ou elles,.
UC8ncEPdiSU4ecAgFbYHZjgA.197,"( e ) s "" , notamment en fonction de l ' argent qu '",ils ou elles,""" possèdent "" , c ' est "" seulement "" de droite 🎩 . Le"
UCeYIsP_h-WO9ZNfBj5fnk1Q.1,"personne souffrante , c ' est pas à son entourage de choisir pour ( '",ils ou elles,") t . Oh contraire , je trouve ça égoïste de choisir pour la personne"
UC8US1wZDQ_hTPB-DVspowsg.5,ces harceleurs ( es ) n ' oserais pas agir de la sorte s ',ils ou elles,devaient utiliser leurs vrai identité . . . et c ' est vrai pour tout
UCgfknJ0xVk-Kiy3hR0Wlv5Q.7,années précédentes . C ' est vrai . Certains disent ce genre de choses et,ils ou elles,"sont relayé ( e ) s par les médias . Cependant , à mon sens"
UC3I_H3ohkwNvwjhT1hs_fNw.1,"' acheteur qui fixer le prix . Aussi , ne me dites pas qu '",ils ou elles,"sont trop payés , car ce n ' est pas la réalité en France ,"
UCVpjPT69E69i3eQ2slVwbKA.5,elle est le problème les gens peuvent aller se baigner avec la tenue qu ',ils ou elles,"veulent , c ' est vraiment puéril comme débat au "" sein "" de nos"
UC1FmGAXo9rJhPVON1QREHTg.3,de voir le nombre de stagiaire impliqués dans des études de recherches longues sur lesquelles,ils ou elles,participent depuis l ' échantillonage jusqu ' à la production de résultat et de publication
UCcjyAXdmCVLGkxxt_Qir4uQ.2,". . . quand tu parle de la France tu parlent des civils aussi ,",ils ou elles,"sont pour rien ce qui se passent au Mali , après nos politiciens même moi"
UC7deBOiUBUt32FWLkr8fGJA.8,,Ils ou elles,"ne seraient pas musulmans ( e ) , vous n ' aurez pas pris le"
UC7deBOiUBUt32FWLkr8fGJA.12,"églises dans un pays musulman en 2019 ? Sur une terre musulman ou islamiste ,",ils ou elles,ne resteraient pas sans réagir . Il ont une vison de ce que pourrait devenir
UC8OVmSHloMQjhbLjymEMf9Q.4,": j ' aimerais tellement croiser des vendeurs et marchands comme ça en France ,",ils ou elles,"chantent , profitent de la vie ( très clairement ) , et surtout , qui"
UCi-tOzMMvNaEiAHlgwED2qQ.3,"pays serait sans Autorité légitimée . Mesures conservatoires : Peu importe qui , combien et comment",ils-elles,"se sont rendus coupables , la caducité des élections est d ' ores et déjà établie"
UCi-tOzMMvNaEiAHlgwED2qQ.3,", la caducité de l ' élection est explicitement documentée et établie depuis le 26.4.2022 et",ils-elles,sont déchus de leurs attributions . Ce faux en écriture publique est condamné par le code
UCwkUuKZcK20v8RXixjcTQ9w.1,", FORCEMENT , LEURS CERVEAUX FONCTION A MOITIÉ ! ! ! ! FAUT ABSOLUMENT QU '",ILS-ELLES,"CE REVEILLENT , SI NON , NOS VIES , EN PLUS DE NOS RICHESSES SONT EN"
UCnQZ7h6Ig9303KNwi-TNv0g.1,et de nombreuses violences perpétrées sur les Français arrivent à 28 % ! ?,Les Françaises et les Français,", seraient-ils devenus amnésiques ou fous ! ? Les élections seraient telles truquées ! ?"
UCnQZ7h6Ig9303KNwi-TNv0g.1,ma vie . Honte à vous Monsieur Jean-Luc Mélenchon vous ne souhaitez aucunement que,les Françaises et les Français,soient plus heureux . Je voterais Marine Le Pen sans le moindre regret . Je
